City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
233,Lorengau,PG,78.4,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
234,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
236,Grand Gaube,MU,79.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
244,Coari,BR,82.08,broken clouds,-4.085,-63.1414,HOTEL ALEX FLAT
245,Charleston,US,77.0,broken clouds,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
246,Tabas,IR,76.62,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
251,Dong Hoi,VN,75.0,few clouds,17.4833,106.6,Nam Long Hotel
255,Humaita,BR,78.13,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
260,Madang,PG,75.09,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
263,Ugoofaaru,MV,82.76,few clouds,5.6667,73.0,Ungoofaaru Inn
264,Chalmette,US,80.01,clear sky,29.9427,-89.9634,Marina Motel Chalmette
266,Sumbe,AO,81.61,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
272,Arlit,NE,87.21,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
274,Santa Rosa,PH,79.0,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
279,Siocon,PH,78.39,scattered clouds,7.7061,122.1353,ABS Hotel
280,Deshnok,IN,80.71,clear sky,27.7986,73.3447,Royal Karni palace
289,Araucaria,BR,77.0,clear sky,-25.5931,-49.4103,Hotel San Gabriel
291,Biak,ID,76.87,overcast clouds,-0.9131,122.8766,Penginapan Kim
293,Marsh Harbour,BS,77.81,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
294,Sibu,MY,77.0,heavy intensity rain,2.3,111.8167,RH HOTEL (4 Star)
295,Les Cayes,HT,78.19,overcast clouds,18.2,-73.75,Villa Orphee
296,Harlingen,US,88.0,few clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
297,Cidreira,BR,81.03,broken clouds,-30.1811,-50.2056,Hotel Castelo
300,Guiratinga,BR,80.19,broken clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
302,Amahai,ID,77.27,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
304,Muli,MV,82.63,few clouds,2.9167,73.5667,Medhufushi Island Resort
317,Vao,NC,75.83,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
321,Kailua,US,78.8,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
322,Bengkulu,ID,75.34,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
329,Cururupu,BR,77.95,broken clouds,-1.8283,-44.8683,Pousada Través'cia
331,Bontang,ID,76.66,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
332,Mitsamiouli,KM,81.59,overcast clouds,-11.3847,43.2844,Foyer ADM
342,Port Keats,AU,78.13,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
343,Jasper,US,75.2,clear sky,37.2001,-94.3502,Guest House Motel
344,Srandakan,ID,76.51,overcast clouds,-7.9386,110.2506,Puri Brata
348,Bacolod,PH,77.5,overcast clouds,10.6667,122.95,Planta Hotel & Residences
352,Parrita,CR,80.6,scattered clouds,9.5201,-84.3225,Beso del Viento
353,Khairagarh,IN,80.78,clear sky,26.95,77.8167,Aqua kalandri R.O.
355,Vanimo,PG,78.03,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
360,Martinez,US,78.01,clear sky,38.0194,-122.1341,Best Western John Muir Inn
364,Pochutla,MX,89.01,clear sky,15.7432,-96.4661,Hotel Posada San Jose
365,Doha,QA,79.0,clear sky,25.2867,51.5333,Movenpick Hotel Doha
366,Gamba,GA,79.66,overcast clouds,-2.65,10.0,
368,Bria,CF,77.11,overcast clouds,6.5423,21.9863,
370,Pauini,BR,77.2,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
371,Houston,US,87.01,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
379,Samarai,PG,79.81,scattered clouds,-10.6167,150.6667,Nuli Sapi
381,Brownsville,US,86.0,overcast clouds,25.9018,-97.4975,University Inn & Suites
384,Bilma,NE,85.42,few clouds,18.6853,12.9164,Expeditions Ténére voyages
