City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hasaki,JP,2021-04-11 15:59:21,35.7333,140.8333,46.4,81,20,1.14
68,Praia,CV,2021-04-11 15:59:22,14.9215,-23.5087,84.2,37,0,24.16
69,Avera,US,2021-04-11 15:59:22,33.194,-82.5271,69.01,100,90,6.91
70,Khatanga,RU,2021-04-11 15:59:22,71.9667,102.5,21.88,89,89,14.58
71,Sitka,US,2021-04-11 15:57:16,57.0531,-135.33,33.8,75,90,3.44
72,Ust-Ilimsk,RU,2021-04-11 15:59:23,58.0006,102.6619,26.8,87,100,6.67
73,Wawa,NG,2021-04-11 15:59:23,9.9022,4.4192,102.29,20,39,5.06
74,Vila Franca Do Campo,PT,2021-04-11 15:56:05,37.7167,-25.4333,66.2,88,75,9.22
75,Harper,LR,2021-04-11 15:59:23,4.375,-7.7169,84.87,70,78,10.18
76,Nikolskoye,RU,2021-04-11 15:59:24,59.7035,30.7861,50.0,32,0,6.71
77,Mittersill,AT,2021-04-11 15:59:24,47.2667,12.4833,41.0,81,99,1.01
78,Esquipulas,GT,2021-04-11 15:59:24,14.5667,-89.35,80.6,54,1,5.48
79,Ilulissat,GL,2021-04-11 15:54:46,69.2167,-51.1,28.4,50,20,12.66
80,Kiunga,PG,2021-04-11 15:59:25,-6.1219,141.2906,71.92,99,85,2.13
81,Lucapa,AO,2021-04-11 15:59:25,-8.4192,20.7447,72.46,84,53,3.56
82,Samarai,PG,2021-04-11 15:59:25,-10.6167,150.6667,79.72,68,70,10.78
83,Wanaka,NZ,2021-04-11 15:59:25,-44.7,169.15,51.01,99,24,3.67
84,Haldensleben,DE,2021-04-11 15:59:26,52.2891,11.4098,51.01,95,99,13.82
85,Urumqi,CN,2021-04-11 15:59:26,43.801,87.6005,50.0,29,0,8.95
86,Coquimbo,CL,2021-04-11 15:59:26,-29.9533,-71.3436,62.6,67,0,12.66
87,Muros,ES,2021-04-11 15:59:27,42.7762,-9.0603,60.01,40,7,17.45
88,Port Lincoln,AU,2021-04-11 15:59:27,-34.7333,135.8667,59.4,59,100,9.42
89,Shangrao,CN,2021-04-11 15:59:27,28.4532,117.9686,59.23,96,99,2.93
90,New Norfolk,AU,2021-04-11 15:59:28,-42.7826,147.0587,46.0,74,76,3.27
91,Rafaela,AR,2021-04-11 15:59:28,-31.2503,-61.4867,68.0,60,35,11.01
92,Mitsamiouli,KM,2021-04-11 15:59:28,-11.3847,43.2844,82.11,74,81,10.36
93,Labuhan,ID,2021-04-11 15:59:28,-6.8844,112.2051,79.25,81,92,3.06
94,Breves,BR,2021-04-11 15:59:14,-1.6822,-50.4803,85.68,67,84,2.98
95,Tolmezzo,IT,2021-04-11 15:59:29,46.4075,13.0175,48.99,85,100,2.28
96,Sao Jose Da Coroa Grande,BR,2021-04-11 15:59:29,-8.8978,-35.1478,81.99,74,97,7.92
97,Klyuchi,RU,2021-04-11 15:59:30,52.2667,79.1667,34.63,89,12,10.58
98,Lebu,CL,2021-04-11 15:55:01,-37.6167,-73.65,60.21,65,0,12.64
99,Bandarbeyla,SO,2021-04-11 15:58:13,9.4942,50.8122,80.53,68,78,9.06
100,Biak,ID,2021-04-11 15:57:15,-0.9131,122.8766,76.26,84,97,1.95
101,Puerto Ayora,EC,2021-04-11 15:54:45,-0.7393,-90.3518,78.8,83,40,9.22
102,Mae Hong Son,TH,2021-04-11 15:59:30,19.3003,97.9685,74.57,87,45,0.43
103,Isla Mujeres,MX,2021-04-11 15:59:31,21.2311,-86.731,84.2,74,75,19.57
104,Kaitangata,NZ,2021-04-11 15:59:31,-46.2817,169.8464,53.04,97,74,3.85
